Item Code,Standard or NonStandard
50 C,Non-Standard
55 C,Irregular
60 C,Standard
75 C,Non-Standard
80 C,Non-Standard
90 C,Non-Standard
95 C,Standard
100 C,Standard
65 C,Non-Standard
70 C,Non-Standard
85 C,Non-Standard
105 C,Non-Standard
110 C,Non-Standard
115 C,Non-Standard
120 C,Non-Standard
125 C,Standard
130 C,Non-Standard
135 C,Non-Standard
140 C,Non-Standard
145 C,Non-Standard
150 C,Standard
160 C,Non-Standard
165 C,Non-Standard
170 C,Non-Standard
175 C,Standard
180 C,Non-Standard
185 C,Non-Standard
190 C,Non-Standard
195 C,Non-Standard
200 C,Standard
210 C,Non-Standard
225 C,Non-Standard
230 C,Non-Standard
240 C,Non-Standard
250 C,Standard
260 C,Non-Standard
70 IC,Non-Standard
75 IC,Non-Standard
80 IC,Non-Standard
85 IC,Non-Standard
90 IC,Non-Standard
95 IC,Non-Standard
100 IC,Standard
110 IC,Non-Standard
115 IC,Non-Standard
120 IC,Non-Standard
125 IC,Standard
130 IC,Non-Standard
140 IC,Non-Standard
150 IC,Non-Standard
160 IC,Non-Standard
170 IC,Non-Standard
175 IC,Non-Standard
180 IC,Non-Standard
190 IC,Non-Standard
200 IC,Non-Standard
RK 50,Standard
60 RK,Non-Standard
75 RK,Non-Standard
RK 100,Non-Standard
RK 125,Non-Standard
RK 150,Non-Standard
EB/MB 100,Standard
STIFFNER,Non-Standard
FLAT RAIL,Standard
83MM END CAP,Standard
CORNER NEW,Standard
100 IC (97 D),Irregular
100 IC (102 D),Irregular
100 IC (117 D),Irregular
J 20,Irregular
J 30,Non-Standard
J 40,Non-Standard
J 50,Non-Standard
J 60,Non-Standard
J 70,Non-Standard
EC (83 D),Irregular
EC (78 D),Irregular
EC (63 D),Irregular
125 SL,Standard
100 SL,Non-Standard
BEAM BAR,Standard
JLB,Non-Standard
EC (4.5MM),Non-Standard
EC,Standard
DRIP MOULD GROOVE,Non-Standard
GROOVE 31x25x10,Non-Standard
GROOVE 25.80x18,Non-Standard
GROOVE 53.60x50x35,Non-Standard
GROOVE 52.55x50x25,Non-Standard
GROOVE 33.07x32x20,Non-Standard
GROOVE 54.20x50x40,Non-Standard
GROOVE 70.80x65x55,Non-Standard
GROOVE 25x24x25,Non-Standard
GROOVE 105x100x10,Non-Standard
GROOVE 130x120x20,Non-Standard
GROOVE 53x50x30,Non-Standard
GROOVE 70x50x40,Non-Standard
GROOVE 50x40x75,Non-Standard
GROOVE 50x30x25,Non-Standard
GROOVE 40x30x10,Non-Standard
GROOVE 105x100x30,Non-Standard
GROOVE 155x150x30,Non-Standard
GROOVE 5473,Non-Standard
130 SL,Non-Standard
BKS PATTI,Standard
SUPPORT PATTI 35MM,Standard
65 MM FLAT RAIL,Non-Standard
SIDE RAIL,Irregular
E STIFFNER,Non-Standard
210 FLAT SECTION,Non-Standard
SECTION 230,Non-Standard
EC (87 D),Irregular
EC 5MM,Non-Standard
155 C,Non-Standard
100 IC (92 D),Irregular
GROOVE 55x45x40,Non-Standard
GROOVE 85x75x50,Non-Standard
GROOVE 85x75x40,Non-Standard
500 C,Standard
450 C,Standard
400 C,Standard
360 C,Non-Standard
350 C,Standard
300 C,Standard
320 C,Non-Standard
255 T,Non-Standard
330 T,Non-Standard
RK,Non-Standard
300 L,Standard
600 C,Standard
STR 315*150,Non-Standard
STR 365*150,Non-Standard
STR 315*160,Non-Standard
STR 315*175,Non-Standard
SECTION 330,Non-Standard
SECTION 290,Non-Standard
380 T,Non-Standard
270 C,Non-Standard
SECTION 280,Non-Standard
5141,Non-Standard
100MM END CAP,Standard
140 PATTI,Non-Standard
220 C,Non-Standard
275 C,Non-Standard
280 C,Non-Standard
60 IC,Non-Standard
FLAT 400,Non-Standard
RK 175,Non-Standard
SECTION 205,Non-Standard
KM 05,Non-Standard
KM 09,Non-Standard
C STIFFNER,Non-Standard
DP 100,Standard
GROOVE 5474,Non-Standard
GROOVE 5475,Non-Standard
GROOVE 5476,Non-Standard
SECTION 255,Non-Standard
SL DEGREE 92,Non-Standard
125X50 JL,Non-Standard
100 IC (95 D),Irregular
110 IC X 110 IC,Non-Standard
130 IC X 130 IC,Non-Standard
GROOVE 6609,Non-Standard
GROOVE 6610,Non-Standard
GROOVE 6611,Non-Standard
GROOVE 6612,Non-Standard
GROOVE 6613,Non-Standard
GROOVE 6615,Non-Standard
GROOVE 6616,Non-Standard
GROOVE 6617,Non-Standard
GROOVE 6633,Non-Standard
GROOVE 6634,Non-Standard
GROOVE 6635,Non-Standard
GROOVE 6636,Non-Standard
GROOVE 6637,Non-Standard
GROOVE 6640,Non-Standard
GROOVE 6656,Non-Standard
GROOVE 6657,Non-Standard
GROOVE 6658,Non-Standard
GROOVE 95804,Non-Standard
I STIFFNER,Standard
SECTION 250,Irregular
CORNER,Non-Standard
230 T,Non-Standard
EC 60 DEGREE,Non-Standard
58 MM FLAT RAIL,Irregular
FLUTTING RKS,Non-Standard
FIN RKS,Non-Standard
145MM END CAP,Non-Standard
ROUND PIPE 16 MM,Non-Standard
290 T,Non-Standard
280 T,Non-Standard
210 T,Non-Standard
ROUND PIPE 38 MM,Standard
SECTION 210,Non-Standard
STR 150 X 315,Non-Standard
STR 150 X 365,Non-Standard
STR 160 X 315,Non-Standard
STR 175 X 315,Non-Standard
65 MM CORNER PATTI,Non-Standard
BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS NOT CLEAN,Non-Standard
BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS CLEAN,Non-Standard
360 T,Non-Standard
GROOVE 75 X 50 X 40,Non-Standard
ALU SHEET 4.0 X 1200 X 2400 MM,Non-Standard
GROOVE 5436,Non-Standard
200 L,Standard
GROOVE 30X15X3,Non-Standard
205 T,Irregular
250 L,Standard
SAMPLE,Non-Standard
Y STIFFNER,Non-Standard
140 MM RAIL,Non-Standard
SKIRTING GROOVE (150 X 140 X 20),Irregular
225 L,Standard
500 C FSW,Non-Standard
600 C FSW,Non-Standard
400 C FSW,Non-Standard
450 C FSW,Non-Standard
300 C FSW,Non-Standard
350 C FSW,Non-Standard
EB/MB 150,Non-Standard
DP 150,Non-Standard
ALUMINIUM SHEET - 6061 GRADE,Non-Standard
commercial grade-4mm x 1219 x 2438  ALUMINIUM SHEET,Non-Standard
STIFFENER 100 MM,Non-Standard
TERRACE FLUTING,Non-Standard
GROOVE 150X155X10,Non-Standard
GROOVE 6605,Non-Standard
WINDOW NOTCH GROOVE (100X20),Non-Standard
J 75,Non-Standard
J 80,Non-Standard
GROOVE 6677,Non-Standard
DLF C-150,Non-Standard
DLF CORNICE,Non-Standard
SKIRTING GROOVE (RAMKY) 125X120X6,Non-Standard
WRONG PROFILE,Non-Standard
100MM END CAP 4MM,Non-Standard
BEAM BAR 150,Non-Standard
