Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC,Alloy,Finish Type,Color Type,Valuation Rate,Disabled,Item Type Standard
PIPE 60 OD X 2 THK,MS,Kg,PIPE 60 OD X 2 THK,76041031,NA,Finished,BLACK PAINTED,0,0,Non-Standard
WALL TIE 370 MM,MS,Kg,WALL TIE 370 MM,76041031,NA,NA,BLACK PAINTED,0,0,Non-Standard
WALL TIE 475 MM,MS,Kg,WALL TIE 475 MM,76041031,NA,NA,BLACK PAINTED,0,0,Non-Standard
WALL TIE 490 MM,MS,Kg,WALL TIE 490 MM,76041031,NA,NA,BLACK PAINTED,0,0,Non-Standard
WALL TIE 665 MM,MS,Kg,WALL TIE 665 MM,76041031,NA,Finished,BLACK PAINTED,0,0,Non-Standard
WALL TIE 520 MM,MS,Kg,WALL TIE 520 MM,76041031,NA,NA,BLACK PAINTED,0,0,Non-Standard
MS PROP 2.0 X 1.8 AS PER NEW DWG,MS,Kg,MS PROP 2.0 X 1.8 AS PER NEW DWG,76041031,NA,NA,BLUE PAINTED,0,0,Non-Standard
PROP-0.75 X 0.5,MS,Kg,PROP-0.75 X 0.5,76041031,NA,Finished,BLUE PAINTED,0,0,Non-Standard
SP-CORNER BKT - LH (H-500 ),MS,Kg,SP-CORNER BKT - LH (H-500 ),76041031,NA,Finished,BLUE PAINTED,0,0,Non-Standard
SP-CORNER BKT- LH ( H - 500 ),MS,Kg,SP-CORNER BKT- LH ( H - 500 ),76041031,NA,Finished,BLUE PAINTED,0,0,Non-Standard
SP-CORNER BKT - D TYPE - LH ( H-350 ),MS,Kg,SP-CORNER BKT - D TYPE - LH ( H-350 ),76041031,NA,Finished,BLUE PAINTED,0,0,Non-Standard
SP - CORNER BKT- D- TYPE  LH ( H-350 ),MS,Kg,SP - CORNER BKT- D- TYPE  LH ( H-350 ),76041031,NA,Finished,BLUE PAINTED,0,0,Non-Standard
SP-CORNER BKT- RH - ( H-500 ),MS,Kg,SP-CORNER BKT- RH - ( H-500 ),76041031,NA,Finished,BLUE PAINTED,0,0,Non-Standard
SP-CORNER BKT- D- TYPE - RH (H-350 ),MS,Kg,SP-CORNER BKT- D- TYPE - RH (H-350 ),76041031,NA,Finished,BLUE PAINTED,0,0,Non-Standard
SP-CORNER BKT- RH - D-TYPE- ( H-350),MS,Kg,SP-CORNER BKT- RH - D-TYPE- ( H-350),76041031,NA,Finished,BLUE PAINTED,0,0,Non-Standard
PROP 2.0 X 2.5,MS,Kg,PROP 2.0 X 2.5,76041031,NA,Finished,BLUE PAINTED,0,0,Non-Standard
PROP 2X1.5-2.5MM THK TP-125,MS,Kg,PROP 2X1.5-2.5MM THK TP-125,76041031,NA,NA,BLUE PAINTED,0,0,Non-Standard
PROP 2X1.5-2.5MM THK TP-80X80X5MM,MS,Kg,PROP 2X1.5-2.5MM THK TP-80X80X5MM,76041031,NA,NA,BLUE PAINTED,0,0,Non-Standard
PROP 0.75X0.75-2.5MM THK TP-95,MS,Kg,PROP 0.75X0.75-2.5MM THK TP-95,76041031,NA,NA,BLUE PAINTED,0,0,Non-Standard
PROP 1.5X1-2.5MM THK TP-95,MS,Kg,PROP 1.5X1-2.5MM THK TP-95,76041031,NA,NA,BLUE PAINTED,0,0,Non-Standard
PROP 1.5X1-2.5MM THK PLB,MS,Kg,PROP 1.5X1-2.5MM THK PLB,76041031,NA,NA,BLUE PAINTED,0,0,Non-Standard
PROP 0.75X0.75 2.5MM THK PLB,MS,Kg,PROP 0.75X0.75 2.5MM THK PLB,76041031,NA,NA,BLUE PAINTED,0,0,Non-Standard
PROP 2X1.5-2.5MM THK PLB,MS,Kg,PROP 2X1.5-2.5MM THK PLB,76041031,NA,NA,BLUE PAINTED,0,0,Non-Standard
PROP 1X0.75-2.5MM THK TP-95,MS,Kg,PROP 1X0.75-2.5MM THK TP-95,76041031,NA,NA,BLUE PAINTED,0,0,Non-Standard
PROP 1X0.75-2.5MM THK PLB,MS,Kg,PROP 1X0.75-2.5MM THK PLB,76041031,NA,NA,BLUE PAINTED,0,0,Non-Standard
WORKING BENCH,MS,Kg,WORKING BENCH,76041031,NA,NA,BLUE PAINTED,0,0,Non-Standard
ROTORY FIXTURE AS PER DRAWING,MS,Kg,ROTORY FIXTURE AS PER DRAWING,76041031,NA,NA,NA,0,0,Non-Standard
MS PATTI TYPE B,MS,Kg,MS PATTI TYPE B,76041031,NA,NA,NA,0,0,Non-Standard
MS PATTI TYPE C,MS,Kg,MS PATTI TYPE C,76041031,NA,NA,NA,0,0,Non-Standard
MS PLATE 600X400X20 MM AS PER DRAWING,MS,Kg,MS PLATE 600X400X20 MM AS PER DRAWING,76041031,NA,NA,NA,0,0,Non-Standard
MS PLATE 200X130X30 MM AS PER DRAWING,MS,Kg,MS PLATE 200X130X30 MM AS PER DRAWING,76041031,NA,NA,NA,0,0,Non-Standard
MS BLOCK 45X45 MM- LENGTH 73 MM AS PER DRAWING,MS,Kg,MS BLOCK 45X45 MM- LENGTH 73 MM AS PER DRAWING,76041031,NA,NA,NA,0,0,Non-Standard
DIA 31.5X105 MM CONICAL PUNCH AS PER DRAWING,MS,Kg,DIA 31.5X105 MM CONICAL PUNCH AS PER DRAWING,76041031,NA,NA,NA,0,0,Non-Standard
GI SHEET 14 FT X 3.5 FT X 0.5 MM THICK,MS,Kg,GI SHEET 14 FT X 3.5 FT X 0.5 MM THICK,76041031,NA,NA,NA,0,0,Non-Standard
MS TMT BAR DIA 8 MM,MS,Kg,MS TMT BAR DIA 8 MM,76041031,NA,NA,NA,0,0,Non-Standard
GI - COMPOUND CHANGING LINK 50 FT X 6 FT ROLL,MS,Kg,GI - COMPOUND CHANGING LINK 50 FT X 6 FT ROLL,76041031,NA,NA,NA,0,0,Non-Standard
50X3 MS FLAT 6MTR LENTH,MS,Kg,50X3 MS FLAT 6MTR LENTH,76041031,NA,NA,NA,0,0,Non-Standard
MS PROP 1.7X2.0 MTR,MS,Kg,MS PROP 1.7X2.0 MTR,76041031,NA,NA,NA,0,0,Non-Standard
PPGI SHEET 9.5 FT X 3.5FT X0.50 MM,MS,Kg,PPGI SHEET 9.5 FT X 3.5FT X0.50 MM,76041031,NA,NA,NA,0,0,Non-Standard
PPGI SHEET 23 FT X 3.5 FT X0.50 MM,MS,Kg,PPGI SHEET 23 FT X 3.5 FT X0.50 MM,76041031,NA,NA,NA,0,0,Non-Standard
MS ROUND BAR DIA 8.00 MM,MS,Kg,MS ROUND BAR DIA 8.00 MM,76041031,NA,Semi-Finished,NA,0,0,Non-Standard
DIVERTOR BOX 450X240X80MM,MS,Kg,DIVERTOR BOX 450X240X80MM,76041031,NA,NA,NA,0,0,Non-Standard
DB BOX 100X150 MM (INNER FACE)-200X250 MM (OUTER FACE),MS,Kg,DB BOX 100X150 MM (INNER FACE)-200X250 MM (OUTER FACE),76041031,NA,NA,NA,0,0,Non-Standard
DB BOX 265X400 MM (INNER FACE)-285X420 MM (OUTER FACE),MS,Kg,DB BOX 265X400 MM (INNER FACE)-285X420 MM (OUTER FACE),76041031,NA,NA,NA,0,0,Non-Standard
DB BOX 360X425 MM(INNER FACE)-380X445 MM(OUTER FACE),MS,Kg,DB BOX 360X425 MM(INNER FACE)-380X445 MM(OUTER FACE),76041031,NA,NA,NA,0,0,Non-Standard
DB BOX 395X425MM (INNER FACE)- 415X445MM (OUTER FACE),MS,Kg,DB BOX 395X425MM (INNER FACE)- 415X445MM (OUTER FACE),76041031,NA,NA,NA,0,0,Non-Standard
DB BOX 255X265MM (INNER FACE)- 275X285MM (OUTER BOX),MS,Kg,DB BOX 255X265MM (INNER FACE)- 275X285MM (OUTER BOX),76041031,NA,NA,NA,0,0,Non-Standard
DB BOX 255X425 MM (INNER FACE)- 275X445MM (OUTER FACE),MS,Kg,DB BOX 255X425 MM (INNER FACE)- 275X445MM (OUTER FACE),76041031,NA,NA,NA,0,0,Non-Standard
L-BRACKET - WALLER BRACKET,MS,Kg,L-BRACKET - WALLER BRACKET,76041031,NA,Finished,NA,0,0,Non-Standard
12 MM STEEL ROUND BAR,MS,Kg,12 MM STEEL ROUND BAR,76041031,NA,NA,NA,0,0,Non-Standard
MS FLAT 40 X 3 THK - 5000 MM LONG  (IS202-GR - A ),MS,Kg,MS FLAT 40 X 3 THK - 5000 MM LONG  (IS202-GR - A ),76041031,NA,NA,NA,0,0,Non-Standard
L- BRACKET - WALLER BRACKET,MS,Kg,L- BRACKET - WALLER BRACKET,76041031,NA,NA,NA,0,0,Non-Standard
SQ TUBE 50 X 50 X 2 MM,MS,Kg,SQ TUBE 50 X 50 X 2 MM,76041031,NA,NA,NA,0,0,Non-Standard
ZINC GOLDEN PLATING CHARGES,MS,Kg,ZINC GOLDEN PLATING CHARGES,76041031,NA,NA,NA,0,0,Non-Standard
PROP 2 X 1.5 AS PER OLD DWG,MS,Kg,PROP 2 X 1.5 AS PER OLD DWG,76041031,NA,NA,NA,0,0,Non-Standard
PPGI SHEET 12FT X 3.5 FT X 0.50 MM,MS,Kg,PPGI SHEET 12FT X 3.5 FT X 0.50 MM,76041031,NA,NA,NA,0,0,Non-Standard
SQ. PLATE 150X150X6 MM,MS,Kg,SQ. PLATE 150X150X6 MM,76041031,NA,NA,NA,0,0,Non-Standard
PPGI SHEET 5FTX3.5FTX0.50 MM,MS,Kg,PPGI SHEET 5FTX3.5FTX0.50 MM,76041031,NA,NA,NA,0,0,Non-Standard
PPGI SHEET 14 FTX3.5FTX0.50 MM,MS,Kg,PPGI SHEET 14 FTX3.5FTX0.50 MM,76041031,NA,NA,NA,0,0,Non-Standard
LABOUR CHARGES PER PROP,MS,Kg,LABOUR CHARGES PER PROP,76041031,NA,NA,NA,0,0,Non-Standard
I BEAM 100X50 MM,MS,Kg,I BEAM 100X50 MM,76041031,NA,NA,NA,0,0,Non-Standard
SP-PROP PLATE 75X 95 X 4 THK,MS,Kg,SP-PROP PLATE 75X 95 X 4 THK,76041031,NA,Finished,NA,0,0,Non-Standard
SIZE 60X60X60X25X25X3 MM,MS,Kg,SIZE 60X60X60X25X25X3 MM,76041031,NA,NA,NA,0,0,Non-Standard
GAS PIPELINE COVER 60X60X25,MS,Kg,GAS PIPELINE COVER 60X60X25,76041031,NA,NA,NA,0,0,Non-Standard
ANCHOR NUT 650 GRAMS,MS,Kg,ANCHOR NUT 650 GRAMS,76041031,NA,Finished,NA,0,0,Non-Standard
DIVERTOR BOX 150X150X100 MM,MS,Kg,DIVERTOR BOX 150X150X100 MM,76041031,NA,NA,NA,0,0,Non-Standard
DIVERTOR BOX 450X420X80 MM,MS,Kg,DIVERTOR BOX 450X420X80 MM,76041031,NA,NA,NA,0,0,Non-Standard
DIVERTOR BOX 1255X300X50 MM,MS,Kg,DIVERTOR BOX 1255X300X50 MM,76041031,NA,NA,NA,0,0,Non-Standard
DIVERTOR BOX 500X300X160 MM,MS,Kg,DIVERTOR BOX 500X300X160 MM,76041031,NA,NA,NA,0,0,Non-Standard
DIVERTOR BOX 500X300X100 MM,MS,Kg,DIVERTOR BOX 500X300X100 MM,76041031,NA,NA,NA,0,0,Non-Standard
DIVERTOR BOX 580X260X90 MM,MS,Kg,DIVERTOR BOX 580X260X90 MM,76041031,NA,NA,NA,0,0,Non-Standard
ANCHOR NUT 90MM 420 GM ZINC PLATED GOLDEN COLOR,MS,Kg,ANCHOR NUT 90MM 420 GM ZINC PLATED GOLDEN COLOR,76041031,NA,NA,NA,0,0,Non-Standard
200X200X5 MS PLATE,MS,Kg,200X200X5 MS PLATE,76041031,NA,NA,NA,0,0,Non-Standard
MS SQ TUBE 40X40X1.2 THK,MS,Kg,MS SQ TUBE 40X40X1.2 THK,76041031,NA,NA,NA,0,0,Non-Standard
PPGI SHEET 13FT X 3.5 FT X 0.50 MM,MS,Kg,PPGI SHEET 13FT X 3.5 FT X 0.50 MM,76041031,NA,NA,NA,0,0,Non-Standard
PROP BOTTOM PLATE 80X100X5 MM THK,MS,Kg,PROP BOTTOM PLATE 80X100X5 MM THK,76041031,NA,NA,NA,0,0,Non-Standard
PPGI SHEET 10 FT X 3.5 FT X 0.50 MM,MS,Kg,PPGI SHEET 10 FT X 3.5 FT X 0.50 MM,76041031,NA,NA,NA,0,0,Non-Standard
PROP 2X1.5-2.5MM THK TP-95,MS,Kg,PROP 2X1.5-2.5MM THK TP-95,76041031,NA,NA,NA,0,0,Non-Standard
PUSH PULL JACK,MS,Kg,PUSH PULL JACK,76041031,NA,NA,NA,0,0,Non-Standard
PPGI SHEET,MS,Kg,PPGI SHEET,76041031,NA,NA,NA,0,0,Non-Standard
ROOF GUTTER,MS,Kg,ROOF GUTTER,76041031,NA,NA,NA,0,0,Non-Standard
STEEL HAMMER,MS,Kg,STEEL HAMMER,76041031,NA,NA,NA,0,0,Non-Standard
TP 80X80X5-TOP PLATE,MS,Kg,TP 80X80X5-TOP PLATE,76041031,NA,Finished,NA,0,0,Non-Standard
SQUARE TUBES 25X25X1.6 THK,MS,Kg,SQUARE TUBES 25X25X1.6 THK,76041031,NA,NA,NA,0,0,Non-Standard
MS PLATE 10 THK -2500X650X10-MM,MS,Kg,MS PLATE 10 THK -2500X650X10-MM,76041031,NA,NA,NA,0,0,Non-Standard
PROP 0.45 X 0.3,MS,Kg,PROP 0.45 X 0.3,76041031,NA,NA,NA,0,0,Non-Standard
MS PLATE 200X155X30 MM AS PER DRAWING,MS,Kg,MS PLATE 200X155X30 MM AS PER DRAWING,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS PIPE 42.90 DIA - THK 2.65 - APOLLO MAKE,MS,Kg,MS PIPE 42.90 DIA - THK 2.65 - APOLLO MAKE,76041031,NA,Finished,NATURAL,0,0,Non-Standard
PUNCHING DIE/TOOL FOR TRIANGULAR PATTI SIZE- (185X130X130 MM),MS,Kg,PUNCHING DIE/TOOL FOR TRIANGULAR PATTI SIZE- (185X130X130 MM),76041031,NA,NA,NATURAL,0,0,Non-Standard
PUNCHING DIE/TOOL FOR TRIANGULAR PATTI SIZE - (130X130X130 MM),MS,Kg,PUNCHING DIE/TOOL FOR TRIANGULAR PATTI SIZE - (130X130X130 MM),76041031,NA,NA,NATURAL,0,0,Non-Standard
MS 130X130X130 MM- 2 MM THK (TRIANGULAR STRIP),MS,Kg,MS 130X130X130 MM- 2 MM THK (TRIANGULAR STRIP),76041031,NA,NA,NATURAL,0,0,Non-Standard
EB- MB DIE PLATE REWORK CHARGES,MS,Kg,EB- MB DIE PLATE REWORK CHARGES,76041031,NA,NA,NATURAL,0,0,Non-Standard
"MILLING, ROTORY & DRILLING CHARGES FOR STIFFNER - 2800X80X30 MM",MS,Kg,"MILLING, ROTORY & DRILLING CHARGES FOR STIFFNER - 2800X80X30 MM",76041031,NA,NA,NATURAL,0,0,Non-Standard
MS BLOCK 80X30X23 AS PER DRAWING,MS,Kg,MS BLOCK 80X30X23 AS PER DRAWING,76041031,NA,NA,NATURAL,0,0,Non-Standard
RAIL MOUNTING ASSEMBLY MACHINING CHARGES,MS,Kg,RAIL MOUNTING ASSEMBLY MACHINING CHARGES,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS PLATE 220X150X16 MM- MACHINING CHARGES,MS,Kg,MS PLATE 220X150X16 MM- MACHINING CHARGES,76041031,NA,NA,NATURAL,0,0,Non-Standard
SQ.PIPE 100X100X4MM THK,MS,Kg,SQ.PIPE 100X100X4MM THK,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS SHEET 1000X4000X0.6MM THK,MS,Kg,MS SHEET 1000X4000X0.6MM THK,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS PLATE 500X50X16,MS,Kg,MS PLATE 500X50X16,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS PLATE 180X150X10,MS,Kg,MS PLATE 180X150X10,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS PLATE 600X100X16,MS,Kg,MS PLATE 600X100X16,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS PLATE 290X75X16,MS,Kg,MS PLATE 290X75X16,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS PLATE 220X150X16,MS,Kg,MS PLATE 220X150X16,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS PLATE 300X300X10,MS,Kg,MS PLATE 300X300X10,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS SQUARE PIPE 72X72X2 MM,MS,Kg,MS SQUARE PIPE 72X72X2 MM,76041031,NA,NA,NATURAL,0,0,Non-Standard
PRE COATED PLAIN SHEET 1250X4000X0.50 MM,MS,Kg,PRE COATED PLAIN SHEET 1250X4000X0.50 MM,76041031,NA,NA,NATURAL,0,0,Non-Standard
SQ. PIPE 50X50X2.5,MS,Kg,SQ. PIPE 50X50X2.5,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS ANGLE 50X50X4 (EACH LENGTH 6 MTR),MS,Kg,MS ANGLE 50X50X4 (EACH LENGTH 6 MTR),76041031,NA,NA,NATURAL,0,0,Non-Standard
TIE ROD 16MM ZINC PLATED GOLDEN COLOR,MS,Kg,TIE ROD 16MM ZINC PLATED GOLDEN COLOR,76041031,NA,NA,NATURAL,0,0,Non-Standard
ANCHOR NUT 90MM 350 GM ZINC PLATED GOLDEN COLOUR,MS,Kg,ANCHOR NUT 90MM 350 GM ZINC PLATED GOLDEN COLOUR,76041031,NA,NA,NATURAL,0,0,Non-Standard
HEX NUT M16X50 ZINC PLATED GOLDEN COLOUR,MS,Kg,HEX NUT M16X50 ZINC PLATED GOLDEN COLOUR,76041031,NA,Finished,NATURAL,0,0,Non-Standard
MS PLATE 2800X900X30 MM,MS,Kg,MS PLATE 2800X900X30 MM,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS PLATE 2800X80X30 MM,MS,Kg,MS PLATE 2800X80X30 MM,76041031,NA,NA,NATURAL,0,0,Non-Standard
YELLOW ENAMEL PAINT,MS,Kg,YELLOW ENAMEL PAINT,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS SUPPORT PLATE 400X170X15 MM,MS,Kg,MS SUPPORT PLATE 400X170X15 MM,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS BASE PLATE 800X800X15 MM,MS,Kg,MS BASE PLATE 800X800X15 MM,76041031,NA,NA,NATURAL,0,0,Non-Standard
BASE SUPPORT BLOCK 60X60X110 MM,MS,Kg,BASE SUPPORT BLOCK 60X60X110 MM,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS SUPPORT PLATE 140X47.5X15 MM,MS,Kg,MS SUPPORT PLATE 140X47.5X15 MM,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS SUPPORT BLOCK WITH ALUMINIUM BLOCK AT END 110X60X10 MM,MS,Kg,MS SUPPORT BLOCK WITH ALUMINIUM BLOCK AT END 110X60X10 MM,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS PLATE 140X100X15 MM WITH SLOTS,MS,Kg,MS PLATE 140X100X15 MM WITH SLOTS,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS PLATE 250X60X15 MM WITH SLOTS,MS,Kg,MS PLATE 250X60X15 MM WITH SLOTS,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS SQUARE TUBE 50X50X2 MM,MS,Kg,MS SQUARE TUBE 50X50X2 MM,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS ANGLE 25X25X3MM,MS,Kg,MS ANGLE 25X25X3MM,76041031,NA,NA,NATURAL,0,0,Non-Standard
MS T ANGLE 60X40X5 MM,MS,Kg,MS T ANGLE 60X40X5 MM,76041031,NA,NA,NATURAL,0,0,Non-Standard
C CHANNEL 125X65X4.8 MM,MS,Kg,C CHANNEL 125X65X4.8 MM,76041031,NA,NA,NATURAL,0,0,Non-Standard
"MILLING, ROTORY & DRILLING CHARGES FOR MS PLATE 2800X900X30 MM",MS,Kg,"MILLING, ROTORY & DRILLING CHARGES FOR MS PLATE 2800X900X30 MM",76041031,NA,NA,NATURAL,0,0,Non-Standard
MS PIPE 50X50X2 MM - SEMI COIL (LENGTH 6 MTR),MS,Kg,MS PIPE 50X50X2 MM - SEMI COIL (LENGTH 6 MTR),76041031,NA,NA,NATURAL,0,0,Non-Standard
JALI,MS,Kg,JALI,76041031,NA,NA,NATURAL,0,0,Non-Standard
"MS BUSH (OD 71 MM, ID- 26 MM & LENGTH 105 MM) WITH MACHINING",MS,Kg,"MS BUSH (OD 71 MM, ID- 26 MM & LENGTH 105 MM) WITH MACHINING",76041031,NA,NA,NATURAL,0,0,Non-Standard
MS ROTORY FIXTURE AS PER DRAWING,MS,Kg,MS ROTORY FIXTURE AS PER DRAWING,76041031,NA,NA,NATURAL,0,0,Non-Standard
PVC CONE 22 MM INTERNAL DIA,MS,Kg,PVC CONE 22 MM INTERNAL DIA,76041031,NA,Finished,NATURAL,0,0,Non-Standard
POLYTHENE TUBE 53 MM WIDTH X 135 MTR LONG,MS,Kg,POLYTHENE TUBE 53 MM WIDTH X 135 MTR LONG,76041031,NA,Finished,NATURAL,0,0,Non-Standard
MS SQ.TUBE 40 X 40 X 4 THK,MS,Kg,MS SQ.TUBE 40 X 40 X 4 THK,76041031,NA,Finished,NATURAL,0,0,Non-Standard
PIPE 60.3 OD X 3.2 THK,MS,Kg,PIPE 60.3 OD X 3.2 THK,"
76041031",NA,NA,NATURAL,0,0,Non-Standard
PIPE 48.3 OD X 2 THK,MS,Kg,PIPE 48.3 OD X 2 THK,76041031,NA,Semi-Finished,NATURAL,0,0,Non-Standard
140 X 140 X 5 THK PROP BOTTOM PLATE,MS,Kg,140 X 140 X 5 THK PROP BOTTOM PLATE,,NA,Finished,NATURAL,0,0,Non-Standard
PROP TOP PLATE 95 X 95 X 5 THK.,MS,Kg,PROP TOP PLATE 95 X 95 X 5 THK.,,NA,Finished,NATURAL,0,0,Non-Standard
ROD 10 MM DIA - PROP G PIN,MS,Kg,ROD 10 MM DIA - PROP G PIN,,NA,Finished,NATURAL,3,0,Non-Standard
MS PIN,MS,Kg,MS PIN,,NA,Finished,NATURAL,0,0,Non-Standard
MS WEDGES,MS,Kg,MS WEDGES,,NA,Finished,NATURAL,0,0,Non-Standard
MS ROUND PIPE Ø 48 OD X 2.5 THK,MS,Kg,MS ROUND PIPE Ø 48 OD X 2.5 THK,,NA,Mill,NATURAL,0,0,Non-Standard
MS RECTANGLE TUBE 75X50X2.5 MM,MS,Kg,MS RECTANGLE TUBE 75X50X2.5 MM,,NA,NA,NATURAL,0,0,Non-Standard
MS RECTANGLE TUBE 25X50X2.5 MM,MS,Kg,MS RECTANGLE TUBE 25X50X2.5 MM,,NA,NA,NATURAL,0,0,Non-Standard
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
