Item Code,Item Group,Default Unit of Measure,Item Name,Alloy,Finish Type,Color Type,HSN/SAC,Allow Alternative Item,Standard or NonStandard,Profile,Maintain Stock,Has Variants,Include Item In Manufacturing,Opening Stock,Valuation Rate,Description,End of Life,Default Material Request Type,Weight Per Unit,Weight UOM,Allow Negative Stock,Has Serial No,Serial Number Series,Variant Based On,Default Purchase Unit of Measure,Allow Purchase,Delivered by Supplier (Drop Ship),Barcode Type (Barcodes),UOM (Barcodes),UOM (UOMs),Conversion Factor (UOMs),Company (Item Defaults),Default Warehouse (Item Defaults)
BEAM BAR 150,Aluminium,Nos,BEAM BAR 150,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,BEAM BAR 150,31/12/2099,Purchase,0,Kg,0,1,BEAM BAR 150.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
100MM END CAP 4MM,Aluminium,Nos,100MM END CAP 4MM,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,100MM END CAP 4MM,31/12/2099,Purchase,0,Kg,0,1,100MM END CAP 4MM.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
WRONG PROFILE,Aluminium,Nos,WRONG PROFILE,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,WRONG PROFILE,31/12/2099,Purchase,0,Kg,0,1,WRONG PROFILE.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
SKIRTING GROOVE (RAMKY) 125X120X6,Aluminium,Nos,SKIRTING GROOVE (RAMKY) 125X120X6,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,SKIRTING GROOVE (RAMKY) 125X120X6,31/12/2099,Purchase,0,Kg,0,1,SKIRTING GROOVE (RAMKY) 125X120X6.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
DLF CORNICE,Aluminium,Nos,DLF CORNICE,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,DLF CORNICE,31/12/2099,Purchase,0,Kg,0,1,DLF CORNICE.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
DLF C-150,Aluminium,Nos,DLF C-150,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,DLF C-150,31/12/2099,Purchase,0,Kg,0,1,DLF C-150.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 6677,Aluminium,Nos,GROOVE 6677,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,GROOVE 6677,31/12/2099,Purchase,0,Kg,0,1,GROOVE 6677.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
J 80,Aluminium,Nos,J 80,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,J 80,31/12/2099,Purchase,0,Kg,0,1,J 80.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
J 75,Aluminium,Nos,J 75,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,J 75,31/12/2099,Purchase,0,Kg,0,1,J 75.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
WINDOW NOTCH GROOVE (100X20),Aluminium,Nos,WINDOW NOTCH GROOVE (100X20),6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,WINDOW NOTCH GROOVE (100X20),31/12/2099,Purchase,0,Kg,0,1,WINDOW NOTCH GROOVE (100X20).MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 6605,Aluminium,Nos,GROOVE 6605,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,GROOVE 6605,31/12/2099,Purchase,0,Kg,0,1,GROOVE 6605.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 150X155X10,Aluminium,Nos,GROOVE 150X155X10,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,GROOVE 150X155X10,31/12/2099,Purchase,0,Kg,0,1,GROOVE 150X155X10.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
TERRACE FLUTING,Aluminium,Nos,TERRACE FLUTING,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,TERRACE FLUTING,31/12/2099,Purchase,0,Kg,0,1,TERRACE FLUTING.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
STIFFENER 100 MM,Aluminium,Nos,STIFFENER 100 MM,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,STIFFENER 100 MM,31/12/2099,Purchase,0,Kg,0,1,STIFFENER 100 MM.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
commercial grade-4mm x 1219 x 2438  ALUMINIUM SHEET,Aluminium,Nos,commercial grade-4mm x 1219 x 2438  ALUMINIUM SHEET,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,commercial grade-4mm x 1219 x 2438  ALUMINIUM SHEET,31/12/2099,Purchase,0,Kg,0,1,commercial grade-4mm x 1219 x 2438  ALUMINIUM SHEET.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
ALUMINIUM SHEET - 6061 GRADE,Aluminium,Nos,ALUMINIUM SHEET - 6061 GRADE,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,ALUMINIUM SHEET - 6061 GRADE,31/12/2099,Purchase,0,Kg,0,1,ALUMINIUM SHEET - 6061 GRADE.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
DP 150,Aluminium,Nos,DP 150,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,DP 150,31/12/2099,Purchase,0,Kg,0,1,DP 150.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
EB/MB 150,Aluminium,Nos,EB/MB 150,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,EB/MB 150,31/12/2099,Purchase,0,Kg,0,1,EB/MB 150.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
350 C FSW,Aluminium,Nos,350 C FSW,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,350 C FSW,31/12/2099,Purchase,0,Kg,0,1,350 C FSW.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
300 C FSW,Aluminium,Nos,300 C FSW,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,300 C FSW,31/12/2099,Purchase,0,Kg,0,1,300 C FSW.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
450 C FSW,Aluminium,Nos,450 C FSW,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,450 C FSW,31/12/2099,Purchase,0,Kg,0,1,450 C FSW.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
400 C FSW,Aluminium,Nos,400 C FSW,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,400 C FSW,31/12/2099,Purchase,0,Kg,0,1,400 C FSW.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
600 C FSW,Aluminium,Nos,600 C FSW,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,600 C FSW,31/12/2099,Purchase,0,Kg,0,1,600 C FSW.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
500 C FSW,Aluminium,Nos,500 C FSW,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,500 C FSW,31/12/2099,Purchase,0,Kg,0,1,500 C FSW.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
225 L,Aluminium,Nos,225 L,6061/T6,MILL,NATURAL,76041031,0,Standard,NP 227,1,1,1,0,0,225 L,31/12/2099,Purchase,0,Kg,0,1,225 L.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
SKIRTING GROOVE (150 X 140 X 20),Aluminium,Nos,SKIRTING GROOVE (150 X 140 X 20),6061/T6,MILL,NATURAL,76041031,0,Irregular,NA,1,1,1,0,0,SKIRTING GROOVE (150 X 140 X 20),31/12/2099,Purchase,0,Kg,0,1,SKIRTING GROOVE (150 X 140 X 20).MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
140 MM RAIL,Aluminium,Nos,140 MM RAIL,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,140 MM RAIL,31/12/2099,Purchase,0,Kg,0,1,140 MM RAIL.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
Y STIFFNER,Aluminium,Nos,Y STIFFNER,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,Y STIFFNER,31/12/2099,Purchase,0,Kg,0,1,Y STIFFNER.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
SAMPLE,Aluminium,Nos,SAMPLE,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,SAMPLE,31/12/2099,Purchase,0,Kg,0,1,SAMPLE.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
250 L,Aluminium,Nos,250 L,6061/T6,MILL,NATURAL,76041031,0,Standard,1139,1,1,1,0,0,250 L,31/12/2099,Purchase,0,Kg,0,1,250 L.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
205 T,Aluminium,Nos,205 T,6061/T6,MILL,NATURAL,76041031,0,Irregular,1160,1,1,1,0,0,205 T,31/12/2099,Purchase,0,Kg,0,1,205 T.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 30X15X3,Aluminium,Nos,GROOVE 30X15X3,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,GROOVE 30X15X3,31/12/2099,Purchase,0,Kg,0,1,GROOVE 30X15X3.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
200 L,Aluminium,Nos,200 L,6061/T6,MILL,NATURAL,76041031,0,Standard,1137,1,1,1,0,0,200 L,31/12/2099,Purchase,0,Kg,0,1,200 L.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 5436,Aluminium,Nos,GROOVE 5436,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,GROOVE 5436,31/12/2099,Purchase,0,Kg,0,1,GROOVE 5436.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
ALU SHEET 4.0 X 1200 X 2400 MM,Aluminium,Nos,ALU SHEET 4.0 X 1200 X 2400 MM,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,ALU SHEET 4.0 X 1200 X 2400 MM,31/12/2099,Purchase,0,Kg,0,1,ALU SHEET 4.0 X 1200 X 2400 MM.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 75 X 50 X 40,Aluminium,Nos,GROOVE 75 X 50 X 40,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,GROOVE 75 X 50 X 40,31/12/2099,Purchase,0,Kg,0,1,GROOVE 75 X 50 X 40.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
360 T,Aluminium,Nos,360 T,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1168,1,1,1,0,0,360 T,31/12/2099,Purchase,0,Kg,0,1,360 T.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS CLEAN,Aluminium,Nos,BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS CLEAN,6061/T6,NA,NA,76041031,0,Non-Standard,NA,1,1,1,0,0,BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS CLEAN,31/12/2099,Purchase,0,Kg,0,1,BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS CLEAN.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS NOT CLEAN,Aluminium,Nos,BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS NOT CLEAN,6061/T6,NA,NA,76041031,0,Non-Standard,NA,1,1,1,0,0,BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS NOT CLEAN,31/12/2099,Purchase,0,Kg,0,1,BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS NOT CLEAN.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
65 MM CORNER PATTI,Aluminium,Nos,65 MM CORNER PATTI,6061/T6,FINISHED,NATURAL,76041031,0,Non-Standard,1134,1,1,1,0,0,65 MM CORNER PATTI,31/12/2099,Purchase,0,Kg,0,1,65 MM CORNER PATTI.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
STR 175 X 315,Aluminium,Nos,STR 175 X 315,6061/T6,FINISHED,NA,76041031,0,Non-Standard,1132,1,1,1,0,0,STR 175 X 315,31/12/2099,Purchase,0,Kg,0,1,STR 175 X 315.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
STR 160 X 315,Aluminium,Nos,STR 160 X 315,6061/T6,FINISHED,NA,76041031,0,Non-Standard,1131,1,1,1,0,0,STR 160 X 315,31/12/2099,Purchase,0,Kg,0,1,STR 160 X 315.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
STR 150 X 365,Aluminium,Nos,STR 150 X 365,6061/T6,FINISHED,NA,76041031,0,Non-Standard,1130,1,1,1,0,0,STR 150 X 365,31/12/2099,Purchase,0,Kg,0,1,STR 150 X 365.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
STR 150 X 315,Aluminium,Nos,STR 150 X 315,6061/T6,FINISHED,NA,76041031,0,Non-Standard,1129,1,1,1,0,0,STR 150 X 315,31/12/2099,Purchase,0,Kg,0,1,STR 150 X 315.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
SECTION 210,Aluminium,Nos,SECTION 210,6061/T6,FINISHED,NA,76041031,0,Non-Standard,NA,1,1,1,0,0,SECTION 210,31/12/2099,Purchase,0,Kg,0,1,SECTION 210.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
ROUND PIPE 38 MM,Aluminium,Nos,ROUND PIPE 38 MM,6061/T6,NA,NA,76041031,0,Standard,1123,1,1,1,0,0,ROUND PIPE 38 MM,31/12/2099,Purchase,0,Kg,0,1,ROUND PIPE 38 MM.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
210 T,Aluminium,Nos,210 T,6061/T6,MILL,NA,76041031,0,Non-Standard,1161,1,1,1,0,0,210 T,31/12/2099,Purchase,0,Kg,0,1,210 T.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
280 T,Aluminium,Nos,280 T,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1165,1,1,1,0,0,280 T,31/12/2099,Purchase,0,Kg,0,1,280 T.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
290 T,Aluminium,Nos,290 T,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1166,1,1,1,0,0,290 T,31/12/2099,Purchase,0,Kg,0,1,290 T.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
ROUND PIPE 16 MM,Aluminium,Nos,ROUND PIPE 16 MM,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,ROUND PIPE 16 MM,31/12/2099,Purchase,0,Kg,0,1,ROUND PIPE 16 MM.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
145MM END CAP,Aluminium,Nos,145MM END CAP,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1126,1,1,1,0,0,145MM END CAP,31/12/2099,Purchase,0,Kg,0,1,145MM END CAP.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
FIN RKS,Aluminium,Nos,FIN RKS,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,FIN RKS,31/12/2099,Purchase,0,Kg,0,1,FIN RKS.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
FLUTTING RKS,Aluminium,Nos,FLUTTING RKS,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,FLUTTING RKS,31/12/2099,Purchase,0,Kg,0,1,FLUTTING RKS.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
58 MM FLAT RAIL,Aluminium,Nos,58 MM FLAT RAIL,6061/T6,MILL,NATURAL,76041031,0,Irregular,1107,1,1,1,0,0,58 MM FLAT RAIL,31/12/2099,Purchase,0,Kg,0,1,58 MM FLAT RAIL.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
EC 60 DEGREE,Aluminium,Nos,EC 60 DEGREE,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,EC 60 DEGREE,31/12/2099,Purchase,0,Kg,0,1,EC 60 DEGREE.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
230 T,Aluminium,Nos,230 T,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1162,1,1,1,0,0,230 T,31/12/2099,Purchase,0,Kg,0,1,230 T.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
CORNER,Aluminium,Nos,CORNER,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,CORNER,31/12/2099,Purchase,0,Kg,0,1,CORNER.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
SECTION 250,Aluminium,Nos,SECTION 250,6061/T6,MILL,NATURAL,76041031,0,Irregular,NA,1,1,1,0,0,SECTION 250,31/12/2099,Purchase,0,Kg,0,1,SECTION 250.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
I STIFFNER,Aluminium,Nos,I STIFFNER,6061/T6,MILL,NATURAL,76041031,0,Standard,1109,1,1,1,0,0,I STIFFNER,31/12/2099,Purchase,0,Kg,0,1,I STIFFNER.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 95804,Aluminium,Nos,GROOVE 95804,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,GROOVE 95804,31/12/2099,Purchase,0,Kg,0,1,GROOVE 95804.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 6658,Aluminium,Nos,GROOVE 6658,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1159,1,1,1,0,0,GROOVE 6658,31/12/2099,Purchase,0,Kg,0,1,GROOVE 6658.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 6657,Aluminium,Nos,GROOVE 6657,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1158,1,1,1,0,0,GROOVE 6657,31/12/2099,Purchase,0,Kg,0,1,GROOVE 6657.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 6656,Aluminium,Nos,GROOVE 6656,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1157,1,1,1,0,0,GROOVE 6656,31/12/2099,Purchase,0,Kg,0,1,GROOVE 6656.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 6640,Aluminium,Nos,GROOVE 6640,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1156,1,1,1,0,0,GROOVE 6640,31/12/2099,Purchase,0,Kg,0,1,GROOVE 6640.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 6637,Aluminium,Nos,GROOVE 6637,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1154,1,1,1,0,0,GROOVE 6637,31/12/2099,Purchase,0,Kg,0,1,GROOVE 6637.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 6636,Aluminium,Nos,GROOVE 6636,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1153,1,1,1,0,0,GROOVE 6636,31/12/2099,Purchase,0,Kg,0,1,GROOVE 6636.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 6635,Aluminium,Nos,GROOVE 6635,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,GROOVE 6635,31/12/2099,Purchase,0,Kg,0,1,GROOVE 6635.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 6634,Aluminium,Nos,GROOVE 6634,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,NA,1,1,1,0,0,GROOVE 6634,31/12/2099,Purchase,0,Kg,0,1,GROOVE 6634.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
GROOVE 6633,Aluminium,Nos,GROOVE 6633,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1152,1,1,1,0,0,GROOVE 6633,31/12/2099,Purchase,0,Kg,0,1,GROOVE 6633.MM.YY.#######,Item Attribute,Kg,1,1,EAN,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
